response_id,enrollment_id,group_id,group_name,group_code,is_preview,assignment_external_id,assignment_title,question_external_id,kc_name,step_key,attempts,first_try_correct,replayed,created_at
883876,6349,1206,Archived Preview,ARCHIVED-5f641dd5-3005-45bf-ab9d-c748cc2c0ce7,f,77d8641b-83ef-46b4-85e2-d2112eb63a98,Lesson 3 Part A: Comparing Positive and Negative Numbers,b208bfa4-9b55-4e09-ad9b-802a9ef59a52,Comparing integers on number line,step-1,1,t,f,2026-04-12 01:54:54.303044+00
883876,6349,1206,Archived Preview,ARCHIVED-5f641dd5-3005-45bf-ab9d-c748cc2c0ce7,f,77d8641b-83ef-46b4-85e2-d2112eb63a98,Lesson 3 Part A: Comparing Positive and Negative Numbers,b208bfa4-9b55-4e09-ad9b-802a9ef59a52,Comparing integers on number line,step-2,1,t,f,2026-04-12 01:54:54.303044+00
883876,6349,1206,Archived Preview,ARCHIVED-5f641dd5-3005-45bf-ab9d-c748cc2c0ce7,f,77d8641b-83ef-46b4-85e2-d2112eb63a98,Lesson 3 Part A: Comparing Positive and Negative Numbers,b208bfa4-9b55-4e09-ad9b-802a9ef59a52,Comparing integers on number line,step-3,1,t,f,2026-04-12 01:54:54.303044+00
883876,6349,1206,Archived Preview,ARCHIVED-5f641dd5-3005-45bf-ab9d-c748cc2c0ce7,f,77d8641b-83ef-46b4-85e2-d2112eb63a98,Lesson 3 Part A: Comparing Positive and Negative Numbers,b208bfa4-9b55-4e09-ad9b-802a9ef59a52,Comparing integers on number line,step-4,1,t,f,2026-04-12 01:54:54.303044+00
883876,6349,1206,Archived Preview,ARCHIVED-5f641dd5-3005-45bf-ab9d-c748cc2c0ce7,f,77d8641b-83ef-46b4-85e2-d2112eb63a98,Lesson 3 Part A: Comparing Positive and Negative Numbers,b208bfa4-9b55-4e09-ad9b-802a9ef59a52,Comparing integers on number line,step-5,1,t,f,2026-04-12 01:54:54.303044+00
883876,6349,1206,Archived Preview,ARCHIVED-5f641dd5-3005-45bf-ab9d-c748cc2c0ce7,f,77d8641b-83ef-46b4-85e2-d2112eb63a98,Lesson 3 Part A: Comparing Positive and Negative Numbers,b208bfa4-9b55-4e09-ad9b-802a9ef59a52,Comparing integers on number line,step-6,1,t,f,2026-04-12 01:54:54.303044+00
883876,6349,1206,Archived Preview,ARCHIVED-5f641dd5-3005-45bf-ab9d-c748cc2c0ce7,f,77d8641b-83ef-46b4-85e2-d2112eb63a98,Lesson 3 Part A: Comparing Positive and Negative Numbers,b208bfa4-9b55-4e09-ad9b-802a9ef59a52,Comparing integers on number line,step-7,1,t,f,2026-04-12 01:54:54.303044+00
883876,6349,1206,Archived Preview,ARCHIVED-5f641dd5-3005-45bf-ab9d-c748cc2c0ce7,f,77d8641b-83ef-46b4-85e2-d2112eb63a98,Lesson 3 Part A: Comparing Positive and Negative Numbers,b208bfa4-9b55-4e09-ad9b-802a9ef59a52,Comparing integers on number line,step-8,1,t,f,2026-04-12 01:54:54.303044+00
883876,6349,1206,Archived Preview,ARCHIVED-5f641dd5-3005-45bf-ab9d-c748cc2c0ce7,f,77d8641b-83ef-46b4-85e2-d2112eb63a98,Lesson 3 Part A: Comparing Positive and Negative Numbers,b208bfa4-9b55-4e09-ad9b-802a9ef59a52,Comparing integers on number line,step-9,1,t,f,2026-04-12 01:54:54.303044+00
883877,1923,337,PREP - 6th Grade,PRP6,f,6fa9b223-b9fe-4923-b20f-1a22e9266a9e,Lesson 1 Part A: Positive and Negative Numbers,013053d0-9ba9-457f-9142-4b808bda59b0,Negative numbers on number line,step-0,1,t,f,2026-04-12 03:14:20.852084+00
